category,name,content
Dining,Pool Deck,"Category: Dining. Pool Deck offers an alfresco dining experience by the outdoor pool. Enjoy casual meals and refreshing drinks in a relaxed open-air setting. Cuisine: Light bites and continental. Hours: 7:00 AM to 7:00 PM. Capacity: 60 covers. Specialty: Salads, grills, sandwiches, mocktails, fresh juices, and poolside snacks. Average cost: Rs 1500 per person. Exclusive for hotel guests."
Dining,Executive Lounge,"Category: Dining. The Executive Lounge is an exclusive retreat for Executive Suite and above guests offering complimentary food and beverages throughout the day. Cuisine: International buffet and snacks. Hours: 6:30 AM to 10:00 PM. Capacity: 50 covers. Complimentary breakfast, all-day snacks, and evening cocktails from 6:00 PM to 8:00 PM. Exclusive for Executive Suite, JW Suite, and Presidential Suite guests. Business services available."
Amenity,Outdoor Swimming Pool,"Category: Amenity. The hotel features a stunning outdoor swimming pool offering a refreshing escape in a beautifully landscaped setting in the heart of the city. Hours: 6:00 AM to 10:00 PM. Length: 25 meters. Pool towels provided. Poolside service available. Dedicated pool attendants. Heated during winter months. Exclusive for hotel guests."
Amenity,JW Fitness Center,"Category: Amenity. The JW Fitness Center is a state-of-the-art 24-hour facility equipped with the latest cardio and strength training equipment. Open 24 hours. Equipment includes treadmills, ellipticals, stationary bikes, Technogym strength machines, free weights, and a functional training zone. Personal training sessions available. Complimentary for hotel guests. Fitness classes including yoga and Pilates are available on request."
Amenity,Quan Spa,"Category: Amenity. Quan Spa is an award-winning luxury spa offering holistic wellness treatments inspired by ancient Indian healing traditions combined with contemporary techniques. Hours: 10:00 AM to 10:00 PM. Treatments include Ayurvedic massages, Swedish massage, deep tissue massage, hot stone therapy, body wraps, facials, and hydrotherapy. Facilities include 8 treatment rooms, 2 couple suites, steam room, sauna, and relaxation lounge. Signature treatments: Abhyanga oil massage and Shirodhara. Average cost: Rs 5000 to Rs 15000. Advance booking recommended."
Amenity,Business Center,"Category: Amenity. The Business Center is a fully equipped 24-hour facility providing essential services for corporate travelers. Services include high-speed internet, printing, scanning, faxing, and secretarial services. Equipment includes Mac and PC workstations, high-resolution printers, A3 and A0 plotters. Private conference pods available for small meetings. Complimentary for hotel guests."
Amenity,Concierge Services,"Category: Amenity. The dedicated concierge team provides personalized assistance 24 hours a day to ensure a memorable stay. Services include airport transfers, car rental, restaurant reservations, sightseeing tours, event tickets, shopping assistance, cultural experiences, city tours, visa assistance, and courier services. Multilingual staff available."
Meeting,Grand Ballroom,"Category: Meeting and Events. The Grand Ballroom is the premier venue for large-scale events, weddings, and corporate galas in Bengaluru. Capacity: 800 guests banquet style, 1000 guests theatre style. Size: 8000 sq ft. Ceiling height: 18 ft. Features include state-of-the-art AV system, LED wall, air conditioning, pre-function area, private entrance, and bridal suite. No natural light. In-built stage. Breakout rooms available. Dedicated event planning team. Full catering provided by the hotel."
Meeting,Convention Hall,"Category: Meeting and Events. The Convention Hall is a versatile space ideal for conferences, product launches, and large corporate meetings. Capacity: 500 guests banquet style, 600 guests theatre style. Size: 5000 sq ft. Features include advanced AV system, multiple projection screens, simultaneous translation booths, breakout areas, and high-speed Wi-Fi. Suitable for hybrid events. Technical support team on-site. Full catering provided by the hotel."
Meeting,Board Room,"Category: Meeting and Events. The Board Room is an intimate and sophisticated space for executive meetings and high-level business discussions. Capacity: 16 to 20 guests. Size: 800 sq ft. Features include oval conference table, premium leather chairs, 75-inch interactive display, video conferencing system, and whiteboard. Natural light available. Includes dedicated butler, stationery, and catering. Ideal for board meetings and investor presentations."
Meeting,Breakout Rooms,"Category: Meeting and Events. The hotel offers 6 flexible breakout rooms for workshops, training sessions, and smaller meetings. Individual capacity: 20 to 40 guests. Sizes: 400 to 600 sq ft each. Features include AV equipment, whiteboards, modular furniture, and natural light in select rooms. Rooms can be combined for larger groups. Catering available on request."
Location,Nearby Attractions,"Category: Location. JW Marriott Bengaluru is centrally located near major business and leisure attractions. Cubbon Park: 0.5 km. Vidhana Soudha: 1 km. MG Road and Brigade Road shopping: 1 km. Lalbagh Botanical Garden: 3 km. UB City Mall: 0.8 km. Commercial Street: 2 km. Bengaluru Palace: 3 km. ISKCON Temple: 8 km. Nandi Hills: 60 km. Mysuru: 140 km."
Location,Transportation,"Category: Location. Kempegowda International Airport (BLR): 35 km, approximately 45 to 60 minutes by car. Krantivira Sangolli Rayanna Railway Station (Bengaluru City): 5 km. Majestic Bus Stand: 5 km. Closest Metro Station: Cubbon Park on the Purple Line, 0.5 km. The hotel provides airport transfers (chargeable), taxi booking, valet parking, and self-parking."
Policy,Check-in and Check-out,"Category: Policy. Standard check-in time is 3:00 PM. Standard check-out time is 12:00 PM. Early check-in is subject to availability and a surcharge may apply. Late check-out is subject to availability and a surcharge may apply. Minimum age for check-in: 18 years. Government-issued photo ID required. International passport required for foreign nationals."
Policy,Cancellation Policy,"Category: Policy. Standard rate: Free cancellation up to 24 hours before arrival. Advance purchase rate: Non-refundable. Group bookings: 72-hour cancellation policy applies. No-show fee: First night's room rate will be charged. Modification requests are subject to availability and rate differences."
Policy,Pet and Smoking Policy,"Category: Policy. Pets are not allowed on hotel premises. Service animals are permitted with documentation. Emotional support animals should be declared in advance. Smoking is not permitted in any indoor areas including guest rooms. Designated smoking areas are available on hotel grounds. A Rs 10000 deep cleaning fee will be charged for smoking in non-smoking areas."
Package,Honeymoon Package,"Category: Package. The Honeymoon Package is a romantic experience crafted for couples celebrating their honeymoon or special occasions. Inclusions: Deluxe Room or above accommodation, romantic room setup with flowers and candles, complimentary bottle of sparkling wine, couple's massage at Quan Spa for 60 minutes, candlelight dinner at Spice Kitchen, late check-out until 2:00 PM subject to availability. Starting price: Rs 18000 per night."
Package,Business Travel Package,"Category: Package. The Business Travel Package is tailored for the corporate traveler requiring convenience and productivity. Inclusions: Premier Room or above accommodation, complimentary breakfast, access to Business Center, high-speed Wi-Fi, one-way airport transfer, 10% discount on dining, late check-out until 2:00 PM subject to availability. Starting price: Rs 12000 per night."
Package,Wellness Retreat Package,"Category: Package. The Wellness Retreat Package is a rejuvenating experience focused on health and well-being. Inclusions: Deluxe Room or above accommodation, daily breakfast, 90-minute Quan Spa treatment, daily yoga session, healthy meal at Spice Kitchen, access to Fitness Center. Starting price: Rs 20000 per night."
Contact,Hotel Contacts,"Category: Contact. General enquiries: +91-80-6620-0000. Reservations: +91-80-6620-0001. Spa booking: +91-80-6620-0050. Events and Weddings: +91-80-6620-0070. Email: jwmarriott.bengaluru@marriott.com. Address: 24/1 Vittal Mallya Road, Bengaluru, Karnataka 560001, India. GPS coordinates: 12.9716 N, 77.5946 E."
